Date : 2024-03-16 00:24:48
Directory : e:\VSCODE\WORK\bitcoinetf.org
Total : 682 files,  65808 codes, 1069 comments, 9731 blanks, all 76608 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\api\info\statistic\statisticApiModule.ts                                | TypeScript         |         50 |          0 |          9 |         59 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\constants\api.ts                                                        | TypeScript         |          4 |          0 |          1 |          5 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\constants\breakpoints.ts                                                | TypeScript         |          6 |          0 |          1 |          7 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\constants\ethCodes.ts                                                   | TypeScript         |         15 |          0 |          2 |         17 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\constants\global.ts                                                     | TypeScript         |         12 |          0 |          3 |         15 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\constants\httpMethods.ts                                                | TypeScript         |         11 |         35 |          9 |         55 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\constants\httpStatusCodes.ts                                            | TypeScript         |         63 |        253 |         61 |        377 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\constants\icons.ts                                                      | TypeScript         |        310 |          1 |          1 |        312 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\constants\keyCodes.ts                                                   | TypeScript         |          3 |          0 |          2 |          5 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\constants\phoneCountryCodes.ts                                          | TypeScript         |        316 |          0 |          4 |        320 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\constants\phoneNumberSettings.ts                                        | TypeScript         |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\constants\signupMethods.ts                                              | TypeScript         |          7 |          0 |          1 |          8 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\directives\v-phone-number.ts                                            | TypeScript         |         76 |          4 |         26 |        106 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\helpers\convertSecondsToHours.ts                                        | TypeScript         |         15 |          0 |          2 |         17 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\helpers\device.ts                                                       | TypeScript         |         30 |          4 |          7 |         41 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\toolkit\apiErrorFlow.ts                                                 | TypeScript         |         14 |          0 |          4 |         18 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\toolkit\filters.ts                                                      | TypeScript         |        232 |          3 |         78 |        313 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\toolkit\stopwatch.ts                                                    | TypeScript         |         15 |          0 |          5 |         20 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\toolkit\validator.ts                                                    | TypeScript         |         49 |          2 |          7 |         58 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\types\global.ts                                                         | TypeScript         |         29 |          0 |          5 |         34 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\types\inversifyTypes.ts                                                 | TypeScript         |         24 |          1 |          2 |         27 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\atoms\a-avatar\a-avatar.scss                                         | SCSS               |         57 |          1 |          7 |         65 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\atoms\a-avatar\a-avatar.vue                                          | Vue                |         36 |          0 |          5 |         41 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\atoms\a-button\a-button.scss                                         | SCSS               |        123 |          0 |         30 |        153 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\atoms\a-button\a-button.vue                                          | Vue                |         87 |          0 |         11 |         98 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\atoms\a-carousel-control\a-carousel-control.scss                     | SCSS               |         52 |          0 |         10 |         62 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\atoms\a-carousel-control\a-carousel-control.vue                      | Vue                |         48 |          0 |          8 |         56 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\atoms\a-checkbox\a-checkbox.scss                                     | SCSS               |         83 |          0 |         14 |         97 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\atoms\a-checkbox\a-checkbox.vue                                      | Vue                |        130 |          0 |         22 |        152 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\atoms\a-icon\a-icon.scss                                             | SCSS               |          6 |          0 |          1 |          7 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\atoms\a-icon\a-icon.vue                                              | Vue                |         62 |          0 |         12 |         74 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\atoms\a-input-phone-country\a-input-phone-country.scss               | SCSS               |        295 |          4 |         81 |        380 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\atoms\a-input-phone-country\a-input-phone-country.vue                | Vue                |         37 |          0 |          8 |         45 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\atoms\a-input-with-button\a-input-with-button.scss                   | SCSS               |        303 |          6 |         84 |        393 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\atoms\a-input-with-button\a-input-with-button.vue                    | Vue                |        495 |          3 |         71 |        569 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\atoms\a-input\a-input.scss                                           | SCSS               |        319 |          7 |         74 |        400 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\atoms\a-input\a-input.vue                                            | Vue                |        483 |          3 |         60 |        546 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\atoms\a-live\a-live.scss                                             | SCSS               |         29 |          1 |          9 |         39 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\atoms\a-live\a-live.vue                                              | Vue                |          7 |          0 |          3 |         10 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\atoms\a-pagination\a-pagination.scss                                 | SCSS               |         37 |          0 |          6 |         43 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\atoms\a-pagination\a-pagination.vue                                  | Vue                |        135 |          0 |         35 |        170 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\atoms\a-pincode-input\a-pincode-input.scss                           | SCSS               |        130 |          0 |         20 |        150 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\atoms\a-pincode-input\a-pincode-input.vue                            | Vue                |        207 |          0 |         25 |        232 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\atoms\a-progressbar\a-progressbar.scss                               | SCSS               |         35 |          0 |          8 |         43 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\atoms\a-progressbar\a-progressbar.vue                                | Vue                |        138 |          0 |         28 |        166 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\atoms\a-radio\a-radio.scss                                           | SCSS               |         90 |          0 |         19 |        109 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\atoms\a-radio\a-radio.vue                                            | Vue                |        123 |          0 |         21 |        144 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\atoms\a-snackbar\a-snackbar.scss                                     | SCSS               |         37 |          0 |          6 |         43 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\atoms\a-snackbar\a-snackbar.vue                                      | Vue                |         24 |          0 |          5 |         29 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\atoms\a-social-sharing\a-social-sharing.vue                          | Vue                |        265 |          0 |         43 |        308 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\atoms\a-switch\a-switch.scss                                         | SCSS               |         98 |          0 |         18 |        116 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\atoms\a-switch\a-switch.vue                                          | Vue                |         79 |          0 |         13 |         92 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\atoms\a-tooltip\a-tooltip.scss                                       | SCSS               |        134 |          8 |         24 |        166 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\atoms\a-tooltip\a-tooltip.vue                                        | Vue                |        151 |          0 |         20 |        171 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\molecules\m-accordion\m-accordion.scss                               | SCSS               |         94 |          0 |         24 |        118 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\molecules\m-accordion\m-accordion.vue                                | Vue                |        117 |          0 |         15 |        132 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\molecules\m-asset\m-asset.scss                                       | SCSS               |         59 |          0 |         10 |         69 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\molecules\m-asset\m-asset.vue                                        | Vue                |         73 |          0 |          7 |         80 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\molecules\m-deal\m-deal.scss                                         | SCSS               |        220 |          0 |         39 |        259 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\molecules\m-deal\m-deal.vue                                          | Vue                |        214 |          1 |         27 |        242 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\molecules\m-dropfile\m-dropfile.scss                                 | SCSS               |         54 |          0 |         10 |         64 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\molecules\m-dropfile\m-dropfile.vue                                  | Vue                |         91 |          0 |         14 |        105 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\molecules\m-loading\m-loading.scss                                   | SCSS               |         39 |          0 |          2 |         41 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\molecules\m-loading\m-loading.vue                                    | Vue                |        114 |          0 |         20 |        134 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\molecules\m-modal-mobile\m-modal-mobile.vue                          | Vue                |        367 |          0 |         55 |        422 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\molecules\m-modal\m-modal.scss                                       | SCSS               |        140 |          2 |         35 |        177 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\molecules\m-modal\m-modal.vue                                        | Vue                |        119 |          0 |         21 |        140 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\molecules\m-popper\m-popper.scss                                     | SCSS               |         66 |          0 |         14 |         80 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\molecules\m-popper\m-popper.vue                                      | Vue                |         50 |          0 |          4 |         54 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\molecules\m-profit-calculator-new\m-profit-calculator-new.scss       | SCSS               |        287 |         21 |         78 |        386 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\molecules\m-profit-calculator-new\m-profit-calculator-new.vue        | Vue                |        295 |         10 |         61 |        366 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\molecules\m-profit-calculator\m-profit-calculator.scss               | SCSS               |        347 |          1 |         47 |        395 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\molecules\m-profit-calculator\m-profit-calculator.vue                | Vue                |        205 |          0 |         10 |        215 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\molecules\m-select\m-select.scss                                     | SCSS               |        198 |          0 |         42 |        240 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\molecules\m-select\m-select.vue                                      | Vue                |        543 |          1 |         44 |        588 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\molecules\m-slider\m-slider.scss                                     | SCSS               |        101 |          3 |         22 |        126 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\molecules\m-slider\m-slider.vue                                      | Vue                |        202 |          0 |         28 |        230 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\molecules\m-snackbars\m-snackbars.scss                               | SCSS               |         37 |          0 |          8 |         45 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\molecules\m-snackbars\m-snackbars.vue                                | Vue                |         24 |          0 |          5 |         29 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\molecules\m-stepper\m-stepper.scss                                   | SCSS               |         24 |          0 |          5 |         29 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\molecules\m-stepper\m-stepper.vue                                    | Vue                |         33 |          0 |          6 |         39 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\promolandings\landing-calculation-new\landing-calculation-new.scss   | SCSS               |        427 |         11 |         41 |        479 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\promolandings\landing-calculation-new\landing-calculation-new.vue    | Vue                |        769 |          3 |        143 |        915 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\promolandings\landing-calculation\landing-calculation.scss           | SCSS               |        299 |          1 |          2 |        302 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\promolandings\landing-calculation\landing-calculation.vue            | Vue                |        176 |          0 |         18 |        194 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\promolandings\landing-promo-new\landing-promo-new.scss               | SCSS               |        103 |          0 |          2 |        105 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\promolandings\landing-promo-new\landing-promo-new.vue                | Vue                |         38 |          0 |          8 |         46 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\promolandings\landing-promo\landing-promo.scss                       | SCSS               |        103 |          0 |          2 |        105 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\promolandings\landing-promo\landing-promo.vue                        | Vue                |         38 |          0 |          8 |         46 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\promolandings\landing-registration\landing-registration.scss         | SCSS               |        121 |          0 |          1 |        122 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\promolandings\landing-registration\landing-registration.vue          | Vue                |        234 |          0 |         14 |        248 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\molecules\m-banner\m-banner.scss                                | SCSS               |         44 |          0 |          7 |         51 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\molecules\m-banner\m-banner.vue                                 | Vue                |         66 |          0 |          8 |         74 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\molecules\m-news\m-news.scss                                    | SCSS               |         46 |          0 |          6 |         52 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\molecules\m-news\m-news.vue                                     | Vue                |         57 |          0 |          4 |         61 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\molecules\m-scroll-navigation\m-scroll-navigation.scss          | SCSS               |         45 |          0 |          5 |         50 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\molecules\m-scroll-navigation\m-scroll-navigation.vue           | Vue                |         50 |          0 |          4 |         54 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\molecules\m-site-blog\m-site-blog.scss                          | SCSS               |         63 |          0 |          8 |         71 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\molecules\m-site-blog\m-site-blog.vue                           | Vue                |         33 |          0 |          4 |         37 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\molecules\m-site-sidebar\m-site-sidebar.scss                    | SCSS               |         70 |          1 |         14 |         85 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\molecules\m-site-sidebar\m-site-sidebar.vue                     | Vue                |         55 |          0 |         10 |         65 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\molecules\m-site-tabs\m-site-tabs.scss                          | SCSS               |         22 |          0 |          4 |         26 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\molecules\m-site-tabs\m-site-tabs.vue                           | Vue                |         29 |          0 |          7 |         36 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-act\s-site-act.scss                             | SCSS               |        298 |          0 |         51 |        349 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-act\s-site-act.vue                              | Vue                |         51 |          0 |          6 |         57 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-banner\s-site-banner.scss                       | SCSS               |         11 |          0 |          3 |         14 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-banner\s-site-banner.vue                        | Vue                |         22 |          0 |          4 |         26 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-bitcoin-education\s-site-bitcoin-education.scss | SCSS               |         28 |          0 |          6 |         34 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-bitcoin-education\s-site-bitcoin-education.vue  | Vue                |         26 |          0 |          4 |         30 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-blog-detail\s-site-blog-detail.scss             | SCSS               |        141 |          2 |         26 |        169 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-blog-detail\s-site-blog-detail.vue              | Vue                |         36 |          0 |          4 |         40 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-blogs-education\s-site-blogs-education.scss     | SCSS               |         37 |          5 |         11 |         53 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-blogs-education\s-site-blogs-education.vue      | Vue                |         40 |          0 |          6 |         46 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-blogs\s-site-blogs.scss                         | SCSS               |         37 |         84 |         11 |        132 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-blogs\s-site-blogs.vue                          | Vue                |         30 |          1 |          4 |         35 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-earnings\s-site-earnings.scss                   | SCSS               |        236 |         12 |         48 |        296 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-earnings\s-site-earnings.vue                    | Vue                |         46 |          0 |          6 |         52 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-footer-new\s-site-footer-new.scss               | SCSS               |        327 |          4 |         61 |        392 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-footer-new\s-site-footer-new.vue                | Vue                |        152 |          0 |         11 |        163 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-footer\s-site-footer.scss                       | SCSS               |        308 |          0 |         57 |        365 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-footer\s-site-footer.vue                        | Vue                |        146 |          0 |         10 |        156 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-fund-ceo\s-site-fund-ceo.scss                   | SCSS               |        190 |          0 |         35 |        225 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-fund-ceo\s-site-fund-ceo.vue                    | Vue                |         37 |          6 |          4 |         47 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-fund-main\s-site-fund-main.scss                 | SCSS               |        117 |          0 |         23 |        140 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-fund-main\s-site-fund-main.vue                  | Vue                |         34 |          0 |          4 |         38 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-fund-vision\s-site-fund-vision.scss             | SCSS               |        242 |          0 |         40 |        282 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-fund-vision\s-site-fund-vision.vue              | Vue                |         81 |          0 |          8 |         89 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-fund\s-site-fund.scss                           | SCSS               |        212 |          3 |         47 |        262 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-fund\s-site-fund.vue                            | Vue                |         68 |          0 |          8 |         76 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-fundinfo-dark\s-site-fundinfo-dark.scss         | SCSS               |        200 |          0 |         39 |        239 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-fundinfo-dark\s-site-fundinfo-dark.vue          | Vue                |        282 |          8 |         31 |        321 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-investor\s-site-investor.scss                   | SCSS               |        201 |          0 |         35 |        236 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-investor\s-site-investor.vue                    | Vue                |         75 |          0 |          9 |         84 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-main\s-site-main.scss                           | SCSS               |        109 |          1 |         23 |        133 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-main\s-site-main.vue                            | Vue                |         90 |          0 |         11 |        101 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-marquee\s-site-marquee.scss                     | SCSS               |         37 |          0 |         11 |         48 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-marquee\s-site-marquee.vue                      | Vue                |         47 |          0 |          9 |         56 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-news\s-site-news.scss                           | SCSS               |         28 |          0 |          5 |         33 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-news\s-site-news.vue                            | Vue                |         26 |          0 |          4 |         30 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-offer-detail\s-site-offer-detail.scss           | SCSS               |         66 |          0 |         15 |         81 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-offer-detail\s-site-offer-detail.vue            | Vue                |         53 |          0 |          5 |         58 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-protection\s-site-protection.scss               | SCSS               |        275 |          1 |         49 |        325 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-protection\s-site-protection.vue                | Vue                |         54 |          0 |          4 |         58 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-referrals-id\s-site-referrals-id.scss           | SCSS               |        199 |          0 |         45 |        244 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-referrals-id\s-site-referrals-id.vue            | Vue                |         67 |          0 |          5 |         72 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-referrals-main\s-site-referrals-main.scss       | SCSS               |        134 |         13 |         30 |        177 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-referrals-main\s-site-referrals-main.vue        | Vue                |         39 |          0 |          4 |         43 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-referrals-share\s-site-referrals-share.scss     | SCSS               |        145 |          0 |         31 |        176 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-referrals-share\s-site-referrals-share.vue      | Vue                |         38 |          0 |          4 |         42 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-text\s-site-text.scss                           | SCSS               |         35 |          0 |          9 |         44 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-text\s-site-text.vue                            | Vue                |         16 |          0 |          3 |         19 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-transparency\s-site-transparency.scss           | SCSS               |        166 |          0 |         36 |        202 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-transparency\s-site-transparency.vue            | Vue                |         37 |          0 |          4 |         41 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-tutorials\s-site-tutorials.scss                 | SCSS               |         52 |          0 |         13 |         65 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-tutorials\s-site-tutorials.vue                  | Vue                |         48 |          0 |          8 |         56 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-ultimate\s-site-ultimate.scss                   | SCSS               |        195 |          0 |         41 |        236 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-ultimate\s-site-ultimate.vue                    | Vue                |         43 |          0 |          5 |         48 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-welcome\s-site-welcome.scss                     | SCSS               |        171 |          0 |         37 |        208 |
| e:\VSCODE\WORK\bitcoinetf.org\src\shared\ui\site\sections\s-site-welcome\s-site-welcome.vue                      | Vue                |         63 |          0 |          9 |         72 |
| e:\VSCODE\WORK\bitcoinetf.org\src\widgets\layouts\w-aside\w-aside.scss                                           | SCSS               |        360 |          2 |         85 |        447 |
| e:\VSCODE\WORK\bitcoinetf.org\src\widgets\layouts\w-aside\w-aside.vue                                            | Vue                |        353 |          0 |         34 |        387 |
| e:\VSCODE\WORK\bitcoinetf.org\src\widgets\layouts\w-header-auth\w-header-auth.scss                               | SCSS               |        177 |          1 |         36 |        214 |
| e:\VSCODE\WORK\bitcoinetf.org\src\widgets\layouts\w-header-auth\w-header-auth.vue                                | Vue                |        107 |          0 |          8 |        115 |
| e:\VSCODE\WORK\bitcoinetf.org\src\widgets\layouts\w-header-dark-launch\w-header-dark-launch.scss                 | SCSS               |        242 |          4 |         46 |        292 |
| e:\VSCODE\WORK\bitcoinetf.org\src\widgets\layouts\w-header-dark-launch\w-header-dark-launch.vue                  | Vue                |        123 |         12 |          9 |        144 |
| e:\VSCODE\WORK\bitcoinetf.org\src\widgets\layouts\w-header-dark\w-header-dark.scss                               | SCSS               |        229 |          4 |         44 |        277 |
| e:\VSCODE\WORK\bitcoinetf.org\src\widgets\layouts\w-header-dark\w-header-dark.vue                                | Vue                |        135 |          0 |          9 |        144 |
| e:\VSCODE\WORK\bitcoinetf.org\src\widgets\layouts\w-header-site\w-header-site.scss                               | SCSS               |        177 |          0 |         35 |        212 |
| e:\VSCODE\WORK\bitcoinetf.org\src\widgets\layouts\w-header-site\w-header-site.vue                                | Vue                |        104 |          0 |          8 |        112 |
| e:\VSCODE\WORK\bitcoinetf.org\src\widgets\layouts\w-header\w-header.scss                                         | SCSS               |        194 |          1 |         36 |        231 |
| e:\VSCODE\WORK\bitcoinetf.org\src\widgets\layouts\w-header\w-header.vue                                          | Vue                |        526 |          0 |         44 |        570 |
| e:\VSCODE\WORK\bitcoinetf.org\src\widgets\layouts\w-menu-bottom\w-menu-bottom.scss                               | SCSS               |         67 |          0 |         13 |         80 |
| e:\VSCODE\WORK\bitcoinetf.org\src\widgets\layouts\w-menu-bottom\w-menu-bottom.vue                                | Vue                |        180 |          0 |         25 |        205 |
| e:\VSCODE\WORK\bitcoinetf.org\src\widgets\w-activity\w-activity.scss                                             | SCSS               |         44 |          1 |          9 |         54 |
| e:\VSCODE\WORK\bitcoinetf.org\src\widgets\w-activity\w-activity.vue                                              | Vue                |        109 |          0 |         23 |        132 |
| e:\VSCODE\WORK\bitcoinetf.org\src\widgets\w-asset\w-asset.scss                                                   | SCSS               |        127 |          0 |         25 |        152 |
| e:\VSCODE\WORK\bitcoinetf.org\src\widgets\w-asset\w-asset.vue                                                    | Vue                |        169 |         15 |         35 |        219 |
| e:\VSCODE\WORK\bitcoinetf.org\src\widgets\w-bonus\w-bonus.scss                                                   | SCSS               |        201 |          0 |         35 |        236 |
| e:\VSCODE\WORK\bitcoinetf.org\src\widgets\w-bonus\w-bonus.vue                                                    | Vue                |        139 |          0 |         16 |        155 |
